Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,317.20001220703125,317.4750061035156,313.07501220703125,314.625,243.535888671875,737988
2014-01-02,315.0,316.25,310.0375061035156,312.76251220703125,242.09426879882812,1030976
2014-01-03,311.2749938964844,316.5,310.86248779296875,314.9375,243.77792358398438,2725944
2014-01-06,316.25,316.5,311.07501220703125,312.6625061035156,242.01686096191406,1392104
2014-01-07,314.0,316.875,310.5375061035156,314.0874938964844,243.11996459960938,3879316
2014-01-08,314.5,319.125,310.54998779296875,311.6000061035156,241.19447326660156,2576776
2014-01-09,312.625,322.61248779296875,310.7749938964844,321.3125,248.71253967285156,3250300
2014-01-10,324.70001220703125,329.6499938964844,317.5,324.54998779296875,251.21839904785156,5292496
2014-01-13,326.17498779296875,338.25,325.75,335.8374938964844,259.9554443359375,4611212
2014-01-14,335.625,335.625,328.75,330.25,255.63050842285156,2560164
2014-01-15,332.57501220703125,336.8500061035156,330.7749938964844,332.5874938964844,257.4398498535156,3919128
2014-01-16,337.75,349.5,335.0625,347.67498779296875,269.1183776855469,13027348
2014-01-17,347.25,349.75,342.45001220703125,344.9125061035156,266.9800109863281,7473896
2014-01-20,346.375,359.25,343.9125061035156,357.6499938964844,276.8394775390625,7594044
2014-01-21,358.0375061035156,364.63751220703125,357.73748779296875,360.0375061035156,278.6875305175781,7940204
2014-01-22,360.0,362.45001220703125,353.2875061035156,361.1875,280.35638427734375,7216076
2014-01-23,361.1875,361.1875,349.6499938964844,352.92498779296875,273.94305419921875,6043544
2014-01-24,353.3125,357.76251220703125,350.1000061035156,352.9624938964844,273.9721984863281,4416224
2014-01-27,352.5,357.38751220703125,349.1499938964844,356.125,276.4268493652344,6256364
2014-01-28,354.75,356.51251220703125,349.5249938964844,353.11248779296875,274.0884094238281,3914664
2014-01-29,352.75,358.75,351.5249938964844,355.57501220703125,275.9999694824219,2616276
2014-01-30,355.7250061035156,361.25,351.95001220703125,358.54998779296875,278.3092041015625,5446576
2014-01-31,359.0249938964844,367.4750061035156,357.5249938964844,365.54998779296875,283.74261474609375,3797684
2014-02-03,363.5,367.7875061035156,362.1625061035156,363.2250061035156,281.93798828125,2420852
2014-02-04,358.625,359.5,343.7749938964844,350.4750061035156,272.041259765625,5091952
2014-02-05,353.0,353.5,343.875,348.4125061035156,270.4403991699219,6655344
2014-02-06,350.0,352.88751220703125,341.0,352.17498779296875,273.36083984375,5371304
2014-02-07,354.92498779296875,355.7250061035156,346.3999938964844,350.01251220703125,271.6822814941406,4448856
2014-02-10,351.1000061035156,355.625,349.1499938964844,354.0375061035156,274.8064270019531,3536760
2014-02-11,353.75,369.79998779296875,353.75,368.2749938964844,285.8577575683594,7607308
2014-02-12,370.0,377.625,369.4375,372.70001220703125,289.29248046875,7410744
2014-02-13,374.75,375.5874938964844,370.13751220703125,372.29998779296875,288.9819641113281,5433888
2014-02-14,373.5,378.4375,369.6499938964844,374.3374938964844,290.5635986328125,4833648
2014-02-17,375.0,380.5,374.5,375.6000061035156,291.5434875488281,2792108
2014-02-18,377.0,378.70001220703125,370.8125,371.6625061035156,288.48724365234375,2802144
2014-02-19,373.0,375.0,368.8500061035156,373.5874938964844,289.98138427734375,2796248
2014-02-20,373.75,374.4750061035156,366.8374938964844,368.2250061035156,285.8189697265625,3687320
2014-02-21,367.75,386.6000061035156,367.75,384.54998779296875,298.4906005859375,5888384
2014-02-24,385.25,385.25,380.1499938964844,382.54998779296875,296.93817138671875,2819804
2014-02-25,384.73748779296875,388.7124938964844,383.75,387.23748779296875,300.57659912109375,2798184
2014-02-26,387.25,395.5375061035156,385.2875061035156,393.1625061035156,305.17572021484375,5771220
2014-02-28,382.5,397.5,382.5,393.88751220703125,305.7383728027344,16188144
2014-03-03,394.0,394.0,372.95001220703125,376.1625061035156,291.9801330566406,8926652
2014-03-04,378.0,381.25,368.76251220703125,370.3500061035156,287.4684143066406,6936724
2014-03-05,371.7250061035156,373.6000061035156,363.3374938964844,365.61248779296875,283.7911376953125,8011076
2014-03-06,367.3500061035156,374.875,367.25,372.9624938964844,289.49627685546875,7490368
2014-03-07,373.0,376.25,364.0625,371.9750061035156,288.7297668457031,8818956
